iter	Passed	Remaining
0	0	429
1	0	337
2	0	315
3	1	305
4	1	305
5	1	317
6	2	295
7	2	315
8	3	342
9	3	327
10	3	323
11	3	308
12	4	305
13	4	305
14	4	293
15	4	291
16	4	282
17	5	283
18	5	281
19	5	284
20	6	283
21	6	276
22	6	275
23	6	274
24	6	272
25	7	271
26	7	275
27	7	273
28	8	276
29	9	295
30	9	299
31	9	300
32	10	301
33	10	301
34	10	300
35	11	296
36	11	295
37	11	296
38	11	292
39	12	293
40	12	292
41	12	292
42	13	295
43	13	293
44	13	293
45	14	293
46	14	290
47	14	288
48	14	287
49	15	286
50	15	285
51	15	285
52	15	284
53	16	283
54	16	283
55	16	284
56	17	284
57	17	282
58	17	280
59	17	278
60	18	277
61	18	275
62	18	275
63	18	276
64	19	278
65	19	280
66	19	278
67	20	276
68	20	277
69	20	276
70	21	276
71	21	273
72	21	273
73	21	273
74	22	271
75	22	272
76	22	272
77	23	272
78	23	271
79	23	269
80	23	268
81	23	267
82	24	265
83	24	266
84	24	265
85	25	273
86	26	273
87	26	272
88	26	272
89	26	272
90	27	272
91	27	271
92	27	271
93	27	269
94	28	269
95	28	269
96	28	268
97	29	268
98	29	267
99	29	267
100	30	268
101	30	267
102	30	268
103	31	267
104	31	267
105	31	265
106	31	265
107	32	264
108	32	262
109	32	261
110	32	261
111	32	260
112	32	258
113	33	257
114	33	257
115	33	256
116	33	255
117	34	254
118	34	253
119	34	253
120	34	252
121	35	252
122	35	252
123	35	252
124	35	251
125	36	250
126	36	252
127	36	251
128	37	251
129	37	251
130	37	251
131	38	251
132	38	249
133	38	250
134	39	250
135	39	250
136	39	249
137	39	249
138	40	248
139	40	247
140	40	247
141	40	246
142	41	246
143	41	246
144	42	247
145	42	247
146	42	246
147	42	246
148	43	246
149	43	246
150	43	246
151	43	245
152	44	245
153	44	246
154	45	246
155	45	246
156	45	246
157	46	246
158	47	249
159	47	249
160	47	249
161	48	249
162	48	249
163	48	249
164	49	248
165	49	247
166	49	248
167	49	247
168	50	246
169	50	245
170	50	244
171	50	244
172	51	244
173	51	243
174	51	243
175	51	242
176	51	241
177	52	241
178	52	241
179	52	240
180	52	239
181	53	239
182	53	239
183	53	239
184	54	239
185	54	239
186	54	238
187	55	237
188	55	237
189	55	236
190	55	236
191	56	235
192	56	235
193	56	235
194	56	234
195	57	233
196	57	233
197	57	232
198	57	231
199	57	231
200	58	230
201	58	230
202	58	230
203	59	231
204	59	232
205	60	232
206	60	231
207	60	230
208	60	230
209	61	230
210	61	230
211	61	229
212	62	229
213	62	229
214	62	228
215	62	228
216	63	227
217	63	226
218	63	226
219	63	226
220	64	225
221	64	225
222	64	224
223	64	224
224	64	223
225	65	222
226	65	222
227	66	223
228	66	223
229	66	223
230	67	223
231	67	222
232	67	223
233	68	222
234	68	222
235	68	222
236	68	221
237	69	221
238	69	220
239	69	220
240	69	219
241	70	219
242	70	219
243	70	219
244	71	219
245	71	218
246	71	218
247	71	218
248	72	217
249	72	216
250	72	216
251	72	216
252	72	215
253	73	214
254	73	214
255	73	213
256	73	213
257	74	212
258	74	212
259	74	212
260	74	211
261	75	211
262	75	211
263	75	210
264	75	210
265	76	210
266	76	210
267	76	209
268	77	209
269	77	210
270	78	210
271	78	209
272	78	208
273	78	207
274	78	207
275	78	207
276	79	206
277	79	206
278	79	205
279	79	205
280	79	204
281	80	203
282	80	203
283	80	202
284	80	202
285	81	202
286	81	202
287	81	201
288	81	201
289	82	201
290	82	201
291	83	201
292	83	201
293	83	200
294	83	200
295	84	200
296	84	199
297	84	199
298	84	198
299	84	197
300	85	197
301	85	197
302	85	196
303	85	196
304	86	196
305	86	195
306	86	195
307	86	195
308	87	194
309	87	194
310	87	194
311	87	193
312	87	193
313	88	192
314	88	192
315	88	192
316	89	192
317	89	192
318	89	191
319	90	191
320	90	191
321	90	190
322	90	190
323	91	190
324	91	190
325	91	189
326	92	189
327	92	189
328	92	189
329	93	188
330	93	188
331	93	188
332	93	187
333	94	187
334	94	187
335	95	187
336	95	187
337	95	187
338	95	187
339	96	186
340	96	186
341	96	185
342	96	185
343	97	185
344	97	184
345	97	184
346	97	184
347	98	183
348	98	183
349	98	183
350	98	182
351	99	182
352	99	182
353	99	181
354	99	181
355	100	181
356	100	181
357	100	180
358	101	180
359	101	180
360	101	179
361	101	179
362	102	179
363	102	178
364	102	178
365	102	178
366	103	177
367	103	177
368	103	177
369	103	176
370	104	176
371	104	176
372	104	175
373	104	175
374	105	175
375	105	174
376	105	174
377	105	174
378	106	174
379	106	173
380	106	173
381	107	173
382	107	173
383	107	172
384	108	172
385	108	172
386	108	172
387	108	171
388	109	171
389	109	170
390	109	170
391	109	170
392	110	170
393	110	169
394	110	169
395	111	169
396	111	169
397	111	168
398	112	169
399	112	169
400	113	169
401	113	168
402	113	168
403	114	168
404	114	167
405	114	167
406	114	167
407	115	166
408	115	166
409	115	166
410	115	165
411	115	165
412	116	165
413	116	164
414	116	164
415	116	163
416	116	163
417	117	163
418	117	162
419	117	162
420	117	162
421	118	162
422	118	161
423	118	161
424	119	161
425	119	160
426	119	160
427	119	160
428	119	159
429	120	159
430	120	158
431	120	158
432	120	158
433	121	158
434	121	157
435	121	157
436	121	157
437	122	156
438	122	156
439	122	155
440	122	155
441	122	155
442	123	154
443	123	154
444	123	154
445	124	154
446	124	154
447	124	153
448	124	153
449	125	152
450	125	152
451	125	152
452	125	151
453	125	151
454	126	150
455	126	150
456	126	150
457	126	149
458	126	149
459	127	149
460	127	149
461	127	148
462	127	148
463	128	147
464	128	147
465	128	147
466	128	146
467	128	146
468	129	146
469	130	146
